iter	RMSE
297	260.116058
298	259.9014504
299	259.7276945
300	259.5879342
301	259.4864154
302	259.1067038
303	258.7330516
304	258.6350466
305	258.5819377
306	258.3960034
307	258.0867284
308	257.9387993
309	257.8202248
310	257.4825638
311	257.3021677
312	257.1462551
313	256.9753708
314	256.7792708
315	256.632893
316	256.5148204
317	256.3754915
318	256.3022005
319	256.2601752
320	256.0718029
321	255.8759086
322	255.7786073
323	255.6060714
324	255.5102298
325	255.3560343
326	255.2361079
327	255.0947579
328	255.0094714
329	254.8091762
330	254.6420528
331	254.4848652
332	254.2845986
333	253.982992
334	253.8722125
335	253.5812916
336	253.4361388
337	253.2364164
338	253.0627474
339	252.793387
340	252.5835171
341	252.3824458
342	252.216583
343	252.2051243
344	252.02704
345	251.901212
346	251.7197951
347	251.4637954
348	251.3581805
349	251.2825189
350	251.1490332
351	251.0020054
352	250.7663659
353	250.5503845
354	250.3679019
355	250.1728059
356	250.0070259
357	249.7610347
358	249.5399387
359	249.3628559
360	249.22276
361	249.1064487
362	248.8844333
363	248.8107086
364	248.7427548
365	248.5832804
366	248.4950009
367	248.2068974
368	248.0992066
369	247.993249
370	247.8478184
371	247.6783107
372	247.5617981
373	247.3991028
374	247.2423433
375	247.0566034
376	246.9108203
377	246.8377818
378	246.7195887
379	246.5563488
380	246.4471452
381	246.3009206
382	246.2172318
383	246.0138623
384	245.9083995
385	245.7880416
386	245.582458
387	245.4138818
388	245.1306505
389	244.976944
390	244.8176745
391	244.7175511
392	244.6057442
393	244.4213659
394	244.3582396
395	244.1617633
396	244.0506058
397	243.9518604
398	243.8772474
399	243.7002631
400	243.6083839
401	243.5166204
402	243.3570278
403	243.2206308
404	243.087576
405	243.007477
406	242.8964027
407	242.7506272
408	242.5608146
409	242.5503071
410	242.4643641
411	242.3295247
412	242.1277677
413	241.9445774
414	241.7720633
415	241.5555065
416	241.3537706
417	241.1834076
418	241.0670054
419	240.920983
420	240.7878268
421	240.6317501
422	240.4774192
423	240.3813963
424	240.2820801
425	240.0922161
426	240.0513767
427	239.9100286
428	239.7653056
429	239.6290572
430	239.5150694
431	239.4569308
432	239.3603174
433	239.2456925
434	239.1525657
435	238.9894824
436	238.908654
437	238.8232617
438	238.7414829
439	238.6683761
440	238.5659066
441	238.4507948
442	238.2222115
443	238.0913812
444	237.9593374
445	237.8684418
446	237.7402288
447	237.6089238
448	237.5104285
449	237.4975155
450	237.3868954
451	237.2178016
452	237.1188636
453	236.9395354
454	236.8524428
455	236.7006021
456	236.5489886
457	236.4223038
458	236.209577
459	236.0433224
460	235.928764
461	235.7569678
462	235.5797874
463	235.5365289
464	235.3558906
465	235.0827574
466	234.9939461
467	234.8146478
468	234.6837888
469	234.5948151
470	234.4751789
471	234.3645531
472	234.2376584
473	234.1277928
474	233.9808696
475	233.8459928
476	233.7728234
477	233.6818807
478	233.5598316
479	233.4293617
480	233.3116659
481	233.1569722
482	233.0657786
483	233.0166862
484	232.8600658
485	232.7912383
486	232.7029645
487	232.5541042
488	232.3835841
489	232.3009559
490	232.1393096
491	232.0057012
492	231.8505445
493	231.7483514
494	231.6040435
495	231.5021644
496	231.4406491
497	231.3361714
498	231.2352286
499	231.0695067
500	230.9176462
501	230.7163782
502	230.5715687
503	230.5031969
504	230.4323703
505	230.3473975
506	230.1860306
507	230.0318265
508	229.9501077
509	229.8458193
510	229.7865126
511	229.7180873
512	229.6371078
513	229.5578422
514	229.4261189
515	229.2799356
516	229.1198406
517	229.0072276
518	228.920953
519	228.8388616
520	228.7163851
521	228.5451534
522	228.4120956
523	228.2417106
524	228.109677
525	228.0463941
526	227.8918717
527	227.7748363
528	227.6879703
529	227.5764723
530	227.4832713
531	227.3942425
532	227.2912657
533	227.2231745
534	227.0922445
535	226.9953824
536	226.8897039
537	226.8109189
538	226.7354433
539	226.5143799
540	226.4010339
541	226.2607435
542	226.1449551
543	226.0198313
544	225.8640483
545	225.7789582
546	225.6847128
547	225.5271858
548	225.4158491
549	225.2351622
550	225.1030971
551	224.9026192
552	224.8202276
553	224.6987321
554	224.5315478
555	224.4666467
556	224.3306469
557	224.2314257
558	224.1419571
559	224.0436398
560	223.9304301
561	223.7565181
562	223.6106637
563	223.5125774
564	223.4204696
565	223.3035227
566	223.2398259
567	223.1700204
568	223.1295812
569	223.0388142
570	222.8837495
571	222.7910856
572	222.6223566
573	222.5594858
574	222.3565311
575	222.2569272
576	222.1621781
577	222.083764
578	221.9909273
579	221.9064077
580	221.7935001
581	221.6369676
582	221.487358
583	221.4467473
584	221.3732599
585	221.2359818
586	221.081623
587	220.9885621
588	220.8708649
589	220.8003786
590	220.769985
591	220.6877702
592	220.6140606
593	220.550765
594	220.4680048
595	220.3629495
596	220.2786283
597	220.1968724
598	220.0118059
599	219.8391438
600	219.770877
601	219.7187128
602	219.5394888
603	219.3735973
604	219.2509794
605	219.1921315
606	219.177493
607	219.1277699
608	218.9954449
609	218.9072288
610	218.8608643
611	218.7529133
612	218.6364588
613	218.5528866
614	218.4481161
615	218.3815894
616	218.2831094
617	218.1863889
618	218.1201198
619	218.0189264
620	217.9635482
621	217.8681852
622	217.7254483
623	217.6321387
624	217.4633384
625	217.387476
626	217.3290828
627	217.2737911
628	217.1489558
